case_id,title,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,next_command,expected_fix,verification,pkt_file
CASE-012,NAT Translation Missing — Internet Access Fails,NAT,Internal hosts (192.168.1.0/24) cannot access the internet. Pinging 8.8.8.8 fails. The ISP router is reachable from R1 but internal hosts cannot reach external IPs.,"PC1 (192.168.1.10) -> R1 (inside: Gi0/0, outside: Gi0/1) -> ISP (203.0.113.1) -> Internet","[show ip nat translations]: Pro Inside global Inside local Outside local Outside global | [show ip nat statistics]: Total active translations: 0 (0 static, 0 dynamic) Outside interfaces: GigabitEthernet0/1 Inside interfaces: GigabitEthernet0/0 Hits: 0 Misses: 47 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up GigabitEthernet0/1 203.0.113.2 YES manual up up",NAT overload (PAT) not configured — no translations being created despite traffic,Layer 3,NAT,HIGH,show ip nat statistics,Create access-list: access-list 1 permit 192.168.1.0 0.0.0.255 -> Configure NAT: ip nat inside source list 1 interface gi0/1 overload -> Verify interfaces: ip nat inside / ip nat outside -> Test: show ip nat translations,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-013,Incorrect Next-Hop in Static Route,STATIC_ROUTING,PC1 cannot reach server1. The routing table on R1 shows a route to 192.168.30.0/24 but the next-hop 10.0.0.5 is unreachable. Traffic is being blackholed.,PC1 -> R1 (incorrect route: 192.168.30.0/24 via 10.0.0.5) -> Server1 (actual path via 10.0.0.2),"[show ip route]: Codes: C - connected, S - static C 192.168.1.0/24 is directly connected, GigabitEthernet0/0 C 10.0.0.0/30 is directly connected, GigabitEthernet0/1 S 192.168.30.0/24 [1/0] via 10.0.0.5 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up GigabitEthernet0/1 10.0.0.1 YES manual up up",Static route next-hop 10.0.0.5 is incorrect (should be 10.0.0.2),Layer 3,Static Routing,HIGH,show ip route,Remove incorrect route: no ip route 192.168.30.0 255.255.255.0 10.0.0.5 -> Add correct route: ip route 192.168.30.0 255.255.255.0 10.0.0.2 -> Verify: show ip route 192.168.30.0 -> Test: ping 192.168.30.10,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-014,OSPF Adjacency Not Forming,DYNAMIC_ROUTING,R1 and R2 are configured for OSPF but no neighbor adjacency forms. Routes are not being shared. Both routers show no OSPF neighbors.,"R1 (OSPF Area 0, Gi0/0: 10.1.1.1/30) <-> R2 (OSPF Area 0, Gi0/0: 10.1.1.2/30)","[show ip route]: Codes: C - connected, O - OSPF C 10.1.1.0/30 is directly connected, GigabitEthernet0/0 C 192.168.1.0/24 is directly connected, GigabitEthernet0/1 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 10.1.1.1 YES manual up up GigabitEthernet0/1 192.168.1.1 YES manual up up",OSPF adjacency not forming — possible hello timer mismatch or missing network statement,Layer 3,Dynamic Routing,HIGH,show ip ospf neighbor,Check OSPF config: show run | section ospf -> Verify network statements include the connected networks -> Check hello/dead timers: show ip ospf interface -> Verify area numbers match -> Check: show ip ospf neighbor,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-015,Incorrect VLAN Access Port Assignment,VLAN,PC1 is supposed to be in VLAN 10 but is placed in VLAN 1 (default). PC1 can only reach other VLAN 1 devices but not VLAN 10 devices.,PC1 -> Fa0/1 (incorrectly in VLAN 1) -> SW1 -> VLAN 10 devices,"[show vlan brief]: VLAN Name Status Ports ---- -------------------------------- --------- ------------------------------- 1 default active Fa0/1, Fa0/5 10 Engineering active Fa0/2, Fa0/3 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol Vlan1 192.168.1.1 YES manual up up Vlan10 192.168.10.1 YES manual up up",Port Fa0/1 assigned to VLAN 1 instead of VLAN 10,Layer 2,VLAN,MEDIUM,show vlan brief,SW1(config)# interface fa0/1 -> SW1(config-if)# switchport access vlan 10 -> Verify: show vlan brief -> Test: ping from PC1 to VLAN 10 device,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-016,Access Port Shutdown on Switch,IP_ADDRESSING,PC2 suddenly has no network connectivity. The port on the switch Fa0/3 shows as administratively down. All other ports are operational.,PC2 -> Fa0/3 (shutdown) -> SW1 -> network,[show ip interface brief]: Interface IP-Address OK? Method Status Protocol FastEthernet0/1 unassigned YES unset up up FastEthernet0/2 unassigned YES unset up up FastEthernet0/3 unassigned YES unset administratively down down Vlan1 192.168.1.1 YES manual up up,FastEthernet0/3 is administratively shut down,Layer 1,Interface Status,HIGH,show ip interface brief,SW1(config)# interface fa0/3 -> SW1(config-if)# no shutdown -> Verify: show ip interface brief -> Verify PC2 gets IP and can communicate,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-017,Native VLAN Mismatch Between Switches,TRUNKING,Cisco Catalyst logs show '%CDP-4-NATIVE_VLAN_MISMATCH' warnings. Inter-switch traffic on VLAN 1 is partially working but some frames are being dropped.,SW1 (native VLAN 1) <-> trunk <-> SW2 (native VLAN 10),"[show interfaces trunk]: Port Mode Encapsulation Status Native vlan Gi0/1 on 802.1q trunking 1 Port Vlans allowed on trunk Gi0/1 1-4094 Port Vlans allowed and active in management domain Gi0/1 1,10,20 Port Vlans in spanning tree forwarding state and not pruned Gi0/1 1,10,20","Native VLAN mismatch — SW1 uses VLAN 1, SW2 uses VLAN 10 as native VLAN",Layer 2,802.1Q Trunking,MEDIUM,show interfaces trunk,On SW2: interface gi0/1 -> switchport trunk native vlan 1 -> Or match both sides to same native VLAN -> Verify: show interfaces trunk -> Check CDP warnings cleared,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-018,Wireless Guest Network Not Isolated,WIRELESS,Guest WiFi users can access internal corporate servers at 10.0.0.0/8. Guest network should be isolated to internet-only access. Guest VLAN is VLAN 30.,Wireless AP (SSID: Guest-WiFi VLAN 30) -> SW1 -> R1 -> internal (10.0.0.0/8),[show ip interface brief]: Interface IP-Address OK? Method Status Protocol Vlan30 192.168.30.1 YES manual up up,No ACL applied to VLAN 30 SVI to restrict access to internal networks,Layer 3,Wireless,HIGH,show access-lists,Create ACL to deny internal access: access-list 130 deny ip 192.168.30.0 0.0.0.255 10.0.0.0 0.255.255.255 -> Permit internet: access-list 130 permit ip any any -> Apply to VLAN 30 SVI inbound -> Test guest isolation,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-019,Wireless Authentication Failure,WIRELESS,Laptop cannot connect to SSID 'Corporate-Wifi'. Authentication fails repeatedly. Other devices connect fine. The laptop was recently re-imaged.,Laptop -> AP (WPA2-Enterprise 802.1X) -> RADIUS Server (192.168.1.200),[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up,802.1X wireless authentication failing — likely missing supplicant configuration or wrong credentials after re-image,Layer 2,Wireless,MEDIUM,show wireless client summary,Verify 802.1X supplicant is configured on laptop -> Check credentials match Active Directory -> Verify RADIUS server reachability: ping 192.168.1.200 -> Check RADIUS server logs for authentication failures -> Re-enroll device if certificate-based auth,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-020,Default Route Missing on Router,STATIC_ROUTING,Internal users cannot reach any external internet resources. The router R1 has correct routes to all internal networks but no route to external networks. ISP link is up.,Internal (192.168.0.0/16) -> R1 (Gi0/1: 203.0.113.2) -> ISP Router (203.0.113.1) -> Internet,"[show ip route]: Codes: C - connected, S - static Gateway of last resort is not set C 192.168.1.0/24 is directly connected, GigabitEthernet0/0 C 192.168.2.0/24 is directly connected, GigabitEthernet0/2 C 203.0.113.0/30 is directly connected, GigabitEthernet0/1 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 192.168.1.1 YES manual up up GigabitEthernet0/1 203.0.113.2 YES manual up up",No default route configured — 'Gateway of last resort is not set',Layer 3,Static Routing,HIGH,show ip route,R1(config)# ip route 0.0.0.0 0.0.0.0 203.0.113.1 -> Verify: show ip route -> Test: ping 8.8.8.8,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-021,SVI Interface Down — Inter-VLAN Routing Fails,INTER_VLAN_ROUTING,Users in VLAN 20 (192.168.20.0/24) cannot reach users in VLAN 10 (192.168.10.0/24). Intra-VLAN communication works. The multilayer switch appears healthy.,PC1 (VLAN 10) -> MLS1 (SVI Vlan10: down) -> PC2 (VLAN 20),[show ip interface brief]: Interface IP-Address OK? Method Status Protocol Vlan1 192.168.1.1 YES manual up up Vlan10 192.168.10.1 YES manual administratively down down Vlan20 192.168.20.1 YES manual up up,SVI Vlan10 is administratively shutdown — inter-VLAN routing fails for VLAN 10,Layer 3,Inter-VLAN Routing,HIGH,show ip interface brief,MLS(config)# interface vlan 10 -> MLS(config-if)# no shutdown -> Verify: show ip interface brief -> Test: ping 192.168.10.1 from PC2,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-022,Router-on-a-Stick — Subinterface Not Configured,INTER_VLAN_ROUTING,VLAN 30 hosts cannot communicate with VLAN 10 or VLAN 20 hosts. Router R1 has subinterfaces for VLAN 10 and 20 but not VLAN 30.,"SW1 (trunk Gi0/0) -> R1 (Gi0/0.10, Gi0/0.20, Gi0/0.30 missing) -> inter-VLAN routing",[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 unassigned YES unset up up GigabitEthernet0/0.10 192.168.10.1 YES manual up up GigabitEthernet0/0.20 192.168.20.1 YES manual up up,Subinterface Gi0/0.30 for VLAN 30 not configured on router,Layer 3,Inter-VLAN Routing,HIGH,show ip interface brief,R1(config)# interface gi0/0.30 -> R1(config-subif)# encapsulation dot1q 30 -> R1(config-subif)# ip address 192.168.30.1 255.255.255.0 -> Verify: show ip interface brief -> Test inter-VLAN routing for VLAN 30,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-023,EIGRP Network Statement Missing,DYNAMIC_ROUTING,R1 and R2 are EIGRP neighbors but R2 is not advertising the 192.168.50.0/24 network. Hosts in that network cannot be reached from R1.,"R1 (EIGRP AS 100) <-> R2 (EIGRP AS 100, has 192.168.50.0/24)","[show ip route]: Codes: D - EIGRP, C - connected C 10.0.0.0/30 is directly connected, GigabitEthernet0/0 D 192.168.40.0/24 [90/2172416] via 10.0.0.2 C 192.168.1.0/24 is directly connected, GigabitEthernet0/1 | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/0 10.0.0.1 YES manual up up GigabitEthernet0/1 192.168.1.1 YES manual up up",EIGRP network statement missing for 192.168.50.0/24 on R2,Layer 3,Dynamic Routing,HIGH,show ip eigrp topology,On R2: router eigrp 100 -> network 192.168.50.0 0.0.0.255 -> Verify: show ip eigrp topology -> Test: ping 192.168.50.x from R1,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-024,ACL Blocking ICMP — Ping Fails but Telnet Works,ACL,Network engineer cannot ping Router R2 but can telnet to it. Other services are working but ICMP is blocked.,Admin PC -> R1 -> R2 (ACL blocking ICMP),[show access-lists]: Extended IP access list MGMT-IN 10 deny icmp any any (234 matches) 20 permit tcp any any eq 23 (12 matches) 30 permit ip any any (89 matches),ACL MGMT-IN seq 10 blocks ICMP before the permit ip any any rule,Layer 4,ACL,LOW,show access-lists,"Evaluate if ICMP block is intentional -> If not: no ip access-list extended MGMT-IN -> Recreate without ICMP deny, or reorder: permit icmp any any before deny -> Apply updated ACL -> Test: ping R2",Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-025,NAT Inside Interface Not Configured,NAT,Internal hosts cannot reach the internet. NAT statistics show 0 translations despite traffic being sent. NAT overload is configured but inside interface designation is missing.,PC1 (192.168.1.10) -> R1 (Gi0/0: inside? Gi0/1: outside) -> Internet,"[show ip nat translations]: Pro Inside global Inside local Outside local Outside global | [show ip nat statistics]: Total active translations: 0 (0 static, 0 dynamic; 0 extended) Outside interfaces: GigabitEthernet0/1 Inside interfaces: Hits: 0 Misses: 120",NAT inside interface not configured on Gi0/0 — no 'ip nat inside' command applied,Layer 3,NAT,HIGH,show ip nat statistics,R1(config)# interface gi0/0 -> R1(config-if)# ip nat inside -> Verify: show ip nat statistics (inside interfaces should now show Gi0/0) -> Test: ping 8.8.8.8 from internal host,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-026,VLAN Pruned from Trunk,VLAN,VLAN 100 traffic is not crossing the trunk between SW1 and SW2. VLAN 100 exists on both switches but hosts cannot communicate across the trunk.,PC1 (VLAN 100) on SW1 <-> trunk <-> SW2 (VLAN 100) -> PC2,"[show interfaces trunk]: Port Mode Encapsulation Status Native vlan Gi0/1 on 802.1q trunking 1 Port Vlans allowed on trunk Gi0/1 1-99,101-4094 Port Vlans allowed and active in management domain Gi0/1 1,10,20 | [show vlan brief]: VLAN Name Status Ports ---- -------------------------------- --------- ------------------------------- 1 default active 10 Data active Fa0/1 20 Voice active Fa0/2 100 Management active Fa0/10","VLAN 100 is not allowed on the trunk (allowed: 1-99, 101-4094 excludes 100)",Layer 2,VLAN,HIGH,show interfaces trunk,SW1(config)# interface gi0/1 -> switchport trunk allowed vlan add 100 -> Repeat on SW2 -> Verify: show interfaces trunk,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-027,Physical Link Down — Cable Issue,IP_ADDRESSING,PC3 has no connectivity to any resource. The switch port Gi0/5 shows down/down status indicating a Layer 1 physical issue.,PC3 -> Gi0/5 (down/down) -> SW1 -> network,[show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/5 unassigned YES unset down down GigabitEthernet0/1 unassigned YES unset up up,GigabitEthernet0/5 is physically down (down/down) — Layer 1 failure,Layer 1,Interface Status,HIGH,show ip interface brief,Check physical cable connection -> Try different cable -> Try different port on switch -> Verify PC NIC is operational -> After fix: show ip interface brief,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-028,DHCP Pool Exhausted,DHCP,Some new PCs in VLAN 10 cannot get IP addresses. Existing PCs work fine. The DHCP pool was created with 20 addresses for 30 users.,"30 PCs -> SW1 -> R1 (DHCP Server, pool: 192.168.10.10-192.168.10.29)",[show ip dhcp binding]: IP address Client-ID/ Lease expiration Type 192.168.10.10 0100.AABB.CC01 Sep 01 2025 08:00 AM Automatic 192.168.10.11 0100.AABB.CC02 Sep 01 2025 08:00 AM Automatic 192.168.10.29 0100.AABB.CC20 Sep 01 2025 08:00 AM Automatic | [show ip dhcp pool]: Pool LAN-POOL : Network: 192.168.10.0/24 Domain Name: company.local DNS server: 192.168.10.254,DHCP pool has 20 addresses for 30 users — pool exhausted,Layer 3,DHCP,MEDIUM,show ip dhcp binding,Expand DHCP pool range -> R1(config)# ip dhcp pool LAN-POOL -> network 192.168.10.0 255.255.255.0 -> Or exclude fewer addresses to free more -> Consider reducing lease time,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-029,Trunk Not Forming — Mode Mismatch,TRUNKING,SW1 and SW2 are connected but the link is not trunking. VLANs 10 and 20 cannot pass between the switches. Both ports appear up/up but as access ports.,SW1 (Gi0/1: mode access) <-> SW2 (Gi0/1: mode trunk),[show interfaces trunk]: Port Mode Encapsulation Status Native vlan (No output — no trunks active) | [show ip interface brief]: Interface IP-Address OK? Method Status Protocol GigabitEthernet0/1 unassigned YES unset up up,Trunk not forming — SW1 port in access mode while SW2 port in trunk mode,Layer 2,802.1Q Trunking,HIGH,show interfaces trunk,SW1(config)# interface gi0/1 -> SW1(config-if)# switchport mode trunk -> SW1(config-if)# switchport trunk encapsulation dot1q -> Verify: show interfaces trunk,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-030,Routing Loop — Incorrect Static Routes,STATIC_ROUTING,Traceroute to 10.10.10.10 shows packets bouncing between R1 and R2 repeatedly until TTL expires. Both routers have static routes pointing to each other for the destination.,PC1 -> R1 -> R2 -> (R1 -> R2 loop for 10.10.10.0/24),"[show ip route]: Codes: C - connected, S - static C 192.168.1.0/24 is directly connected, GigabitEthernet0/0 C 10.0.0.0/30 is directly connected, GigabitEthernet0/1 S 10.10.10.0/24 [1/0] via 10.0.0.2","Routing loop — R1 routes to R2, R2 routes back to R1 for 10.10.10.0/24",Layer 3,Static Routing,CRITICAL,traceroute 10.10.10.10,"Identify the actual location of 10.10.10.0/24 -> On the router directly connected: no ip route, add correct next-hop -> Remove the incorrect route from the other router -> Verify with traceroute — no loops",Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-031,ACL Implicit Deny Blocking Required Traffic,ACL,"After applying ACL 120 to block a specific subnet, all other traffic from the network stopped working. The ACL was added to block only 192.168.99.0/24.",Multiple VLANs -> R1 (ACL 120 applied) -> Server farm,[show access-lists]: Extended IP access list 120 10 deny ip 192.168.99.0 0.0.0.255 any (0 matches) (implicit deny: 0 matches — but blocking everything),ACL 120 missing final 'permit ip any any' — implicit deny blocks all traffic except denied subnet,Layer 4,ACL,CRITICAL,show access-lists,access-list 120 permit ip any any -> Add this as the last line -> Verify ACL: show access-lists -> Test connectivity for all VLANs,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
CASE-032,Static NAT Entry Missing for Server,NAT,External users cannot reach the internal web server at 192.168.1.100. The server should be accessible via the public IP 203.0.113.10. NAT is configured for dynamic inside hosts.,Internet -> R1 (203.0.113.10 should map to 192.168.1.100) -> Web Server,"[show ip nat translations]: Pro Inside global Inside local Outside local Outside global tcp 203.0.113.2:1025 192.168.1.10:1025 8.8.8.8:80 8.8.8.8:80 | [show ip nat statistics]: Total active translations: 1 (0 static, 1 dynamic) Hits: 45 Misses: 3",Static NAT entry for web server (203.0.113.10 -> 192.168.1.100) not configured,Layer 3,NAT,HIGH,show ip nat translations,R1(config)# ip nat inside source static 192.168.1.100 203.0.113.10 -> Verify: show ip nat translations -> Test from external host: curl 203.0.113.10,Post-fix show commands and ICMP echo verification,Lab_Scenario_Verified
